121,APH,8.83%,3.52%,-0.74%,5.43%,21.48%,0.06%,3.00%,3.22%,2.00,7.94M,0.66,69.49,0.27%,"5,202,171"
122,APLD,6.13%,-17.52%,-7.52%,23.59%,63.52%,-2.62%,7.09%,10.49%,1.00,25.62M,0.92,7.44,-6.88%,"23,657,466"
123,APLE,-1.64%,-9.58%,-13.54%,-13.60%,-20.77%,-13.88%,2.25%,2.64%,2.29,2.20M,0.94,13.22,-1.20%,"2,060,973"
124,APLS,-2.66%,-13.32%,-28.30%,-26.91%,-58.03%,-25.54%,3.98%,4.62%,1.74,1.74M,0.86,23.76,-2.06%,"1,488,864"
125,APO,7.61%,0.02%,-12.81%,18.81%,29.14%,-10.45%,3.55%,4.12%,1.55,3.62M,0.67,147.90,-0.34%,"2,429,928"
126,APP,24.19%,-15.63%,8.64%,174.64%,381.56%,6.94%,6.87%,9.53%,1.77,7.34M,1.03,346.29,1.93%,"7,568,919"
127,APPS,3.83%,-9.97%,101.14%,26.16%,26.62%,108.28%,8.35%,10.92%,2.50,7.04M,0.44,3.52,-3.56%,"3,103,206"
128,APTV,2.66%,-3.44%,13.12%,-7.66%,-19.95%,6.63%,1.83%,2.58%,1.65,3.49M,0.60,64.49,0.91%,"2,078,526"
129,AQN,-0.20%,4.93%,18.56%,-7.43%,-16.09%,14.83%,1.38%,3.20%,2.64,9.94M,1.08,5.11,-0.78%,"10,717,859"
130,AQST,17.09%,8.78%,-11.54%,-36.74%,-26.48%,-9.55%,7.09%,7.72%,1.11,1.68M,0.58,3.22,-0.92%,"980,950"
131,AR,3.89%,9.29%,34.22%,50.95%,54.15%,18.17%,2.28%,4.01%,2.08,4.80M,0.74,41.42,0.51%,"3,552,013"
132,ARCC,2.25%,-3.92%,5.58%,8.25%,11.27%,1.92%,1.28%,1.79%,1.71,4.66M,0.89,22.31,1.18%,"4,125,550"
133,ARCO,-1.10%,-2.30%,10.11%,-3.47%,-28.36%,10.71%,2.72%,3.65%,1.33,1.37M,0.54,8.06,1.00%,"740,406"
134,ARDX,-2.44%,1.17%,10.66%,-15.33%,-33.72%,2.37%,5.71%,5.22%,1.33,4.12M,1.82,5.19,-1.14%,"7,502,673"
135,ARE,-2.45%,-1.23%,-1.35%,-20.84%,-25.36%,-1.61%,1.97%,2.65%,2.43,1.29M,0.80,95.98,-1.61%,"1,029,089"
136,ARES,8.06%,-7.86%,-9.03%,-0.66%,13.95%,-12.09%,3.06%,4.07%,1.94,1.33M,2.88,155.63,1.22%,"3,835,827"
137,ARHS,5.81%,-18.78%,4.24%,-27.93%,-38.78%,0.74%,5.38%,7.35%,2.29,2.06M,1.40,9.47,-3.86%,"2,884,619"
138,ARI,-1.71%,-0.10%,11.62%,3.10%,-10.51%,13.16%,1.64%,1.86%,3.14,1.02M,0.84,9.80,-0.61%,"857,260"
139,ARIS,13.10%,25.77%,39.40%,94.57%,144.35%,39.16%,6.25%,7.02%,2.00,917.18K,1.16,33.33,2.46%,"1,063,536"
140,ARKO,8.88%,-44.77%,-38.95%,-39.65%,-29.92%,-36.72%,4.82%,7.46%,2.50,688.32K,0.80,4.17,0.00%,"551,578"
141,ARLO,-0.38%,-8.57%,-7.77%,-9.90%,-18.96%,-5.63%,3.44%,5.88%,1.40,898.53K,0.96,10.56,-2.85%,"861,527"
142,ARM,3.81%,-11.56%,-5.92%,-10.53%,-6.98%,0.75%,3.30%,5.29%,2.10,5.77M,0.32,124.28,-0.46%,"1,847,529"
